Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2021,July-2021 ,7/7/2021,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 1,VINDHYACHAL STPS UNIT 1,210,210,4.32,4.92,7.00,0.00,97.62,OK,0,Low Capacity,
2017,November-2017 ,11/21/2017,Odisha,Odisha,TALCHER (OLD) TPSUnit 2,TALCHER (OLD) TPS UNIT 2,60,60,1.33,1.50,0.00,0.00,104.17,OK,0,Low Capacity,
2022,January-2022 ,1/24/2022,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 3,UNCHAHAR TPS UNIT 3,210,210,2.48,3.67,13.00,0.00,72.82,OK,0,Low Capacity,
2018,March-2018 ,3/8/2018,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 1,SIMHADRI UNIT 1,500,500,9.68,10.35,0.00,0.00,86.25,OK,0,Low Capacity,
2023,September-2023 ,9/7/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 2,UNCHAHAR TPS UNIT 2,210,210,3.77,3.12,10.00,0.00,61.90,OK,0,Low Capacity,
2018,April-2018 ,4/2/2018,Odisha,Odisha,TALCHER (OLD) TPSUnit 2,TALCHER (OLD) TPS UNIT 2,60,60,1.09,1.49,0.00,0.00,103.47,OK,0,Low Capacity,
2019,December-2019 ,12/14/2019,Assam,Assam,BONGAIGAON TPPUnit 3,BONGAIGAON TPP UNIT 3,250,250,1.81,4.03,22.00,0.00,67.17,OK,0,Low Capacity,
2021,October-2021 ,10/4/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 1,RIHAND STPS UNIT 1,500,500,10.23,11.62,9.00,0.00,96.83,OK,0,Low Capacity,
2025,March-2025 ,3/20/2025,Odisha,Odisha,TALCHER STPSUnit 1,TALCHER STPS UNIT 1,500,500,11.65,11.71,12.00,0.00,97.58,OK,0,Low Capacity,
2024,April-2024 ,4/13/2024,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,11.10,8.01,20.00,0.00,66.75,OK,0,Low Capacity,
